pid,fgxp,fkicker,dist,good
668133,FG,CB-0700,22,1
668154,XP,CB-0700,33,1
668162,XP,CB-0700,33,1
668171,XP,DH-3970,33,1
668201,XP,DH-3970,33,1
668213,XP,DH-3970,33,1
668228,FG,CB-0700,45,1
668241,FG,DH-3970,35,1
668253,FG,CB-0700,21,1
668267,XP,DH-3970,33,1
668324,XP,RS-3400,33,1
668338,FG,MB-4600,27,1
668371,XP,MB-4600,33,1
668414,FG,MB-4600,47,0
668456,XP,KF-0250,33,1
668467,XP,KF-0250,33,1
668472,XP,KF-0250,33,0
668532,XP,KF-0250,33,1
668552,XP,AV-0400,33,1
668563,XP,AV-0400,33,1
668606,XP,AV-0400,33,1
668623,XP,MP-2100,33,1
668640,FG,BW-0350,37,1
668647,XP,MP-2100,33,1
668657,FG,BW-0350,53,1
668674,FG,MP-2100,52,1
668683,XP,BW-0350,33,0
668696,FG,BW-0350,51,1
668707,XP,BW-0350,33,1
668717,FG,BW-0350,35,1
668732,FG,BW-0350,22,1
668792,FG,CS-0250,30,1
668807,FG,CB-2275,24,1
668821,FG,CS-0250,22,1
668838,FG,CS-0250,27,1
668847,FG,CS-0250,54,0
668876,XP,CS-0250,33,1
668884,XP,CB-2275,33,1
668897,FG,CB-2275,36,1
668907,XP,CS-0250,33,1
668930,XP,GZ-2000,33,1
668940,FG,GZ-2000,39,1
668957,FG,TC-2450,25,1
669000,FG,GZ-2000,63,0
669008,FG,TC-2450,44,1
669017,FG,GZ-2000,35,0
669033,XP,GZ-2000,33,1
669055,XP,GZ-2000,33,1
669092,XP,AF-1150,33,1
669107,XP,AF-1150,33,1
669117,XP,AF-1150,33,1
669129,XP,AF-1150,33,1
