olid,lt,lg,c,rg,rt
1573,JT-1600,JG-3100,AM-0100,OC-0200,MS-0550
1574,JM-1130,RI-0100,MP-2000,JJ-2100,TC-1400
1575,KB-0500,LN-0400,SW-1900,MB-3600,TP-0600
1576,AC-1200,DT-1100,SS-0400,MM-2600,GC-0400
1577,EM-1300,WR-0100,BM-1900,UN-0100,LJ-0750
1578,BA-0200,JA-1050,RH-3200,GS-0400,EF-0050
1579,DP-1100,GC-0300,JZ-0300,DJ-3000,DD-2300
1580,DF-0600,VD-0300,NM-0200,WC-0200,AH-3700
1581,MA-0250,RF-0900,MP-1900,DD-0750,MG-0500
1582,MR-1700,AL-0700,RT-2000,CW-0650,DS-4400
1583,SB-0100,JB-3900,PK-0250,GR-0300,LH-1550
1584,CB-3400,BG-2200,BD-0800,JE-1000,ZS-0200
1585,JG-3900,CS-1150,RK-0100,GW-1100,BB-1600
1586,RR-0250,RS-1200,DR-0300,LW-0350,JF-3000
1587,DB-0350,JS-3500,ED-0500,TL-0300,DB-0750
1588,JL-2500,CW-2700,SW-0800,HD-0100,RS-0100
1589,LB-1400,DC-3000,LS-0500,PF-0100,EW-1500
1590,TS-2700,RL-0350,TF-1350,MB-2200,DF-1800
1591,JP-2400,EM-0400,JK-0500,TH-1500,LJ-0850
1592,KD-1600,CR-0900,NH-0200,JC-3000,DF-1250
1593,WB-0400,MP-0500,KB-1400,CS-2800,JP-4350
1594,DB-4900,WS-0700,CM-3600,BB-3230,DN-0700
1595,BA-0200,JA-1050,RH-3200,JA-2500,EF-0050
1596,JG-3900,AS-0940,RK-0100,CS-1150,BB-1600
1597,RR-0250,RS-1200,DR-0300,LW-0350,CH-3300
1598,WB-0400,KB-1400,DB-0100,CS-2800,JP-4350
1599,CB-3400,BG-2200,BD-0800,TL-0750,ZS-0200
1600,KD-1600,CR-0900,NH-0200,JC-3000,MH-1030
1601,RH-1000,WS-0700,CM-3600,BB-3230,DN-0700
1602,JL-2500,CW-2700,SW-0800,HD-0100,JB-1400
1603,LH-1550,JB-3900,PK-0250,GR-0300,JT-3500
1604,PM-0700,JC-1000,MU-0400,JS-7450,BG-0500
1605,AC-1200,HT-0600,MM-2600,JL-2000,GC-0400
1606,MA-0250,RF-0900,FV-0100,DD-0750,MG-0500
1607,CC-1900,ZB-0100,MR-0100,LV-0100,OF-0100
1608,PM-0700,JC-1000,LJ-0500,JS-7450,MB-3250
1609,DP-1100,CN-0700,JZ-0300,DJ-3000,DD-2300
