pid,bc,dir,yds,succ,kne
671623,GB-0350,MD,12,1,0
671627,DW-3600,MD,2,0,0
671631,AD-0100,MD,0,0,0
671634,DW-3600,RT,4,1,0
671636,JH-4025,MD,-1,0,0
671637,JH-4025,RT,6,0,0
671646,JH-4025,RT,1,0,0
671647,JH-4025,MD,2,0,0
671648,JH-4025,MD,-3,0,0
671667,AA-1350,MD,9,1,0
671669,DM-1200,MD,7,1,0
671670,AA-1350,MD,2,1,0
671673,AA-1350,RE,2,0,0
671674,AA-1350,LG,2,0,0
671678,AB-1975,LT,1,0,0
671682,AA-1350,LT,2,0,0
671683,AA-1350,RG,6,1,0
671684,AA-1350,LG,0,0,0
671687,CP-1950,RT,3,0,0
671688,CP-1950,RT,2,0,0
671691,CP-1950,MD,5,0,0
671694,AA-1350,RT,1,0,0
671695,AA-1350,RT,-2,0,0
671706,AB-1975,MD,1,0,0
671712,AA-1350,LE,-1,0,0
671713,DM-1200,LE,6,0,0
671716,AB-1975,RT,0,0,0
671727,KW-2550,RE,7,1,0
671731,CP-1950,MD,3,0,0
671732,CP-1950,RE,0,0,0
671740,BH-1900,NL,-1,0,1
671743,AA-1350,RT,1,0,0
671748,AB-1975,MD,2,0,0
671750,AB-1975,LT,7,1,0
671755,AA-1350,RE,28,1,0
671756,AA-1350,MD,0,0,0
671770,AA-1350,LT,3,1,0
671772,AA-1350,MD,3,1,0
671773,AA-1350,RG,8,1,0
671776,CP-1950,MD,2,0,0
671782,CP-1950,MD,3,0,0
671791,AB-1975,RT,5,1,0
671792,AB-1975,RE,8,1,0
671793,AB-1975,RE,0,0,0
671800,DM-1200,MD,2,0,0
671806,AB-1975,RG,1,0,0
671807,AB-1975,LT,4,1,0
671808,AB-1975,RT,3,1,0
671810,CP-1950,LG,0,0,0
671811,AB-1975,LE,1,0,0
671812,AB-1975,RG,2,0,0
671813,AB-1975,RT,4,0,0
671819,CI-0300,MD,-3,0,0
671821,CI-0300,LT,-2,0,0
671823,RF-0500,LE,12,1,0
671824,CI-0300,LG,7,1,0
671825,CI-0300,LE,-3,0,0
671827,CI-0300,LG,6,1,0
671828,CI-0300,LG,3,1,0
671829,CI-0300,MD,-1,0,0
671835,TJ-2400,RG,3,0,0
671838,LM-1850,RE,26,1,0
671841,LM-1850,MD,6,1,0
671842,LM-1850,LG,1,0,0
671847,CI-0300,LG,1,0,0
671851,LM-1850,RE,6,1,0
671854,TJ-2400,LE,2,0,0
671857,LM-1850,RG,1,0,0
671859,LM-1850,LT,0,0,0
671863,CI-0300,RE,6,1,0
671864,CI-0300,MD,1,0,0
671868,LM-1850,MD,12,1,0
671870,LM-1850,MD,2,0,0
