uid,gid,player,pat,fgs,fgm,fgl,fpts,game,seas,year,team
7945,4006,CS-0250,3,1,0,0,6,2,2,2015,KC
7946,4006,BM-1650,4,0,0,1,9,2,3,2015,DEN
7947,4007,RB-4650,2,0,1,0,6,2,4,2015,HOU
7948,4007,GG-0100,3,1,0,0,6,2,7,2015,CAR
7949,4008,PD-0200,1,0,1,0,5,2,18,2015,SF
7950,4008,JS-1100,3,0,0,0,3,2,12,2015,PIT
7951,4009,KB-1850,2,3,0,1,16,2,1,2015,TB
7952,4009,ZH-0150,1,0,0,0,1,2,2,2015,NO
7953,4010,BW-0350,2,2,0,0,8,2,4,2015,MIN
7954,4010,MP-2100,1,1,0,0,4,2,10,2015,DET
7955,4011,CC-1150,6,0,0,0,6,2,2,2015,ARI
7956,4011,RG-1500,2,1,1,1,14,2,11,2015,CHI
7957,4012,DC-0500,2,0,0,0,2,2,8,2015,BUF
7958,4012,SG-0800,4,2,1,1,19,2,10,2015,NE
7959,4013,MN-0800,3,1,0,0,6,2,11,2015,CIN
7960,4013,JL-0207,1,1,1,0,8,2,1,2015,SD
7961,4014,TC-2450,4,0,0,0,4,2,2,2015,CLE
7962,4014,RS-3400,2,0,0,0,2,2,7,2015,TEN
7963,4015,MB-4600,3,0,1,0,7,2,14,2015,ATL
7964,4015,JB-7100,2,1,1,0,9,2,13,2015,NYG
7965,4016,DH-3970,3,0,1,0,7,1,3,2015,WAS
7966,4016,GZ-2000,1,0,0,1,6,2,4,2015,STL
7967,4017,JM-7000,2,2,0,1,13,2,1,2015,JAC
7968,4017,AF-1150,2,0,2,0,10,2,1,2015,MIA
7969,4018,SJ-0300,4,1,2,0,15,2,16,2015,OAK
7970,4018,JT-3950,3,4,0,0,15,2,4,2015,BAL
7971,4019,DB-0200,2,2,0,0,8,2,5,2015,DAL
7972,4019,CP-0575,1,0,1,0,5,2,2,2015,PHI
7973,4020,MC-3000,1,2,1,1,16,2,9,2015,GB
7974,4020,SH-0400,2,0,0,1,7,2,8,2015,SEA
7975,4021,NF-0300,2,1,1,0,9,2,9,2015,NYJ
7976,4021,AV-0400,1,0,0,0,1,2,20,2015,IND
7977,4022,JB-7100,3,2,1,0,13,3,13,2015,NYG
7978,4022,DH-3970,1,1,1,0,8,2,3,2015,WAS
7979,4023,DB-0200,4,0,0,0,4,3,5,2015,DAL
7980,4023,MB-4600,4,1,0,0,7,3,14,2015,ATL
7981,4024,AV-0400,5,0,0,0,5,3,20,2015,IND
7982,4024,RS-3400,3,2,0,0,9,3,7,2015,TEN
7983,4025,SJ-0300,3,2,0,0,9,3,16,2015,OAK
7984,4025,TC-2450,2,1,1,0,9,3,2,2015,CLE
7985,4026,MN-0800,4,0,0,0,4,3,11,2015,CIN
7986,4026,JT-3950,3,1,0,0,6,3,4,2015,BAL
7987,4027,SG-0800,6,1,2,0,17,3,10,2015,NE
7988,4027,JM-7000,2,0,1,0,6,3,1,2015,JAC
7989,4028,ZH-0150,1,1,0,0,4,3,2,2015,NO
7990,4028,GG-0100,3,1,1,0,10,3,7,2015,CAR
7991,4029,CP-0575,3,1,0,0,6,3,2,2015,PHI
7992,4029,NF-0300,2,0,0,1,7,3,9,2015,NYJ
7993,4030,RB-4650,1,2,0,0,7,3,4,2015,HOU
7994,4030,KB-1850,0,0,0,1,5,3,1,2015,TB
7995,4031,BW-0350,4,1,0,0,7,3,4,2015,MIN
7996,4031,JL-0207,2,0,0,0,2,3,1,2015,SD
7997,4032,JS-1100,0,1,1,0,7,3,12,2015,PIT
