pid,kicker,kgro,knet,ktb,kr,kry
659664,CC-1150,69,45,0,DW-2350,24
659671,CC-1150,65,45,1,,0
659688,BP-0750,72,48,0,PP-0400,24
659717,CC-1150,73,56,0,DW-2350,17
659731,JG-0850,65,45,1,,0
659742,JG-0850,65,45,1,,0
659761,JG-0850,65,45,1,,0
659782,JG-0850,65,47,0,JL-0215,18
659807,JG-0850,68,37,0,DW-3125,31
659817,JG-0850,34,34,0,,0
659819,AF-1150,65,45,1,,0
659839,AF-1150,65,45,1,,0
659854,JG-0850,65,45,1,,0
659881,MD-0125,10,10,0,,0
659885,JG-0850,66,52,0,DW-3125,14
659902,SH-0400,65,45,1,,0
659925,SH-0400,65,45,1,,0
659973,RG-1500,70,-35,0,TL-1025,105
659975,SH-0400,65,45,1,,0
660000,SH-0400,70,43,0,MM-0900,27
660013,SH-0400,65,45,1,,0
660031,SH-0400,65,45,1,,0
660046,BM-1650,65,45,1,,0
660103,BM-1650,50,30,1,,0
660115,SM-0650,65,45,1,,0
660124,BM-1650,80,60,1,,0
660126,SM-0650,65,45,1,,0
660138,SM-0650,65,45,1,,0
660181,BM-1650,65,45,1,,0
660197,BM-1650,65,45,1,,0
660213,CS-0250,70,34,0,TM-3150,36
660229,MC-3000,67,13,0,KD-0450,54
660248,MC-3000,65,45,1,,0
660265,CS-0250,70,42,0,TM-3150,28
660277,MC-3000,68,43,0,KD-0450,25
660293,MC-3000,65,45,1,,0
660299,MC-3000,61,45,0,KD-0450,16
660324,MC-3000,65,45,1,,0
660337,CS-0250,65,45,1,,0
660347,MC-3000,73,54,0,DT-0850,19
660357,CS-0250,65,45,1,,0
660385,CS-0250,13,13,0,,0
660393,JT-3950,65,45,1,,0
660411,JS-1100,64,40,0,MC-0150,24
660426,JT-3950,65,45,1,,0
660456,JS-1100,65,45,1,,0
660466,JS-1100,65,45,1,,0
660477,JS-1100,65,45,1,,0
660485,JT-3950,65,45,1,,0
660511,JT-3950,65,45,1,,0
660544,JT-3950,65,45,1,,0
660546,JT-3950,65,34,0,DA-1450,31
660570,NF-0300,69,46,0,JL-0215,23
660582,NF-0300,61,49,0,JL-0215,12
660598,NF-0300,69,39,0,JL-0215,30
660622,NF-0300,68,38,0,JL-0215,30
660629,AF-1150,69,52,0,ZS-0150,17
660653,NF-0300,67,35,0,JL-0215,32
660659,AF-1150,71,43,0,ZS-0150,28
660670,NF-0300,68,49,0,DW-3125,19
660711,AF-1150,65,45,1,,0
660747,JM-7000,73,41,0,GW-0650,32
660772,PM-0300,65,45,1,,0
660779,JM-7000,65,45,1,,0
660797,JM-7000,73,45,0,GW-0650,28
660816,PM-0300,65,45,1,,0
660831,JM-7000,65,53,0,PD-0800,12
660832,PM-0300,65,45,1,,0
660874,PM-0300,65,45,1,,0
660921,PM-0300,65,45,1,,0
660947,JB-7100,68,49,0,PH-0400,19
660961,JB-7100,45,30,0,MT-0550,15
660976,JG-0850,65,45,1,,0
660990,JB-7100,65,45,0,PH-0400,20
661009,JB-7100,59,45,0,MT-0550,14
661039,JG-0850,65,45,1,,0
661093,JG-0850,62,37,0,SV-0200,25
