uid,pid,ptm,pen,desc,cat,pey,act
59038,657933,DAL,TS-2700,Offensive Holding,2,10,A
59039,657952,DAL,BC-1200,Defensive Holding,5,3,A
59040,657958,ATL,RA-0675,Unnecessary Roughness,6,15,A
59041,657972,ATL,JS-6950,Offensive Holding,2,10,A
59042,657977,ATL,JM-1450,Offensive Holding,2,10,A
59043,657981,DAL,JW-6000,False Start,1,5,A
59044,657983,DAL,DF-1800,Offensive Holding,2,10,A
59045,657997,ATL,AC-1500,Roughing the Passer,6,15,A
59046,658061,IND,HT-0600,Offensive Holding,2,10,A
59047,658093,TEN,JP-3875,Offensive Holding,2,10,A
59048,658099,IND,JM-4150,False Start,1,5,A
59049,658103,TEN,DB-0950,Illegal Block Above the Waist,7,10,A
59050,658106,IND,DJ-0500,Illegal Contact,5,5,A
59051,658122,IND,HT-0600,False Start,1,5,A
59052,658129,TEN,BS-1150,Illegal Use of Hands,2,10,A
59053,658131,TEN,TL-0775,Offensive Holding,2,10,A
59054,658144,IND,HT-0600,Offensive Holding,2,10,A
59055,658148,IND,HT-0600,Offensive Holding,2,10,A
59056,658165,TEN,KW-2550,False Start,1,5,A
59057,658174,IND,CF-0650,Offensive Holding,2,4,A
59058,658184,IND,JM-4150,False Start,1,5,A
59059,658199,TEN,DM-3600,Tripping,7,10,A
59060,658208,IND,EW-0100,Roughing the Passer,6,15,A
59061,658213,IND,VD-0200,Defensive Pass Interference,5,1,A
59062,658215,IND,JB-6500,Defensive Pass Interference,5,1,A
59063,658229,OAK,MR-0970,Offensive Holding,2,10,A
59064,658238,OAK,MS-2400,Defensive Holding,5,5,A
59065,658240,CLE,MS-0550,Offensive Holding,2,10,A
59066,658244,OAK,MR-0970,False Start,1,5,A
59067,658247,CLE,PD-0450,Defensive Holding,5,5,A
59068,658262,CLE,BM-2850,Illegal Block Above the Waist,7,10,A
59069,658265,CLE,RH-3000,Offensive Pass Interference,2,0,D
59070,658267,OAK,AC-2350,Offensive Pass Interference,2,10,A
59071,658268,OAK,LS-1550,False Start,1,5,A
59072,658272,CLE,TC-0350,Roughing the Kicker,6,15,A
59073,658275,OAK,DP-1100,False Start,1,5,A
59074,658296,CLE,JB-3550,False Start,1,5,A
59075,658319,OAK,MC-2900,Offensive Pass Interference,2,10,A
59076,658325,CLE,JD-2600,False Start,1,5,A
59077,658326,OAK,AS-1500,Defensive Offside,4,5,A
59078,658345,CLE,XC-0100,Defensive Offside,4,0,D
59079,658353,OAK,DA-0950,Defensive Holding,5,5,A
59080,658363,OAK,AH-3700,Offensive Holding,2,10,A
59081,658367,OAK,AS-1500,Neutral Zone,4,5,A
59082,658376,OAK,JW-1400,Offensive Holding,2,10,A
59083,658383,OAK,MK-0760,Delay of Game,3,0,D
59084,658407,BAL,RM-3850,Defensive Holding,5,5,A
59085,658411,BAL,RM-3850,Illegal Use of Hands,5,5,A
59086,658412,CIN,AG-1500,Illegal Formation,3,5,A
59087,658414,CIN,AD-0100,Delay of Game,3,5,A
59088,658415,BAL,WH-0750,Defensive Pass Interference,5,8,A
59089,658424,BAL,,Illegal Shift,3,5,A
59090,658430,BAL,JH-6500,False Start,1,5,A
59091,658432,BAL,KO-0750,Unnecessary Roughness,6,0,O
59092,658432,CIN,CD-2200,Unnecessary Roughness,6,0,O
59093,658436,CIN,RB-2275,Ineligible Downfield Pass,3,6,A
59094,658444,CIN,DK-0750,Illegal Contact,5,6,A
59095,658445,BAL,JZ-0300,Offensive Holding,2,0,D
59096,658447,BAL,RM-3850,Defensive Pass Interference,5,14,A
59097,658462,BAL,KJ-1400,Offensive Holding,2,10,A
59098,658464,CIN,AG-1500,Offensive Pass Interference,2,10,A
59099,658472,CIN,AD-0100,Delay of Game,3,5,A
59100,658478,CIN,CD-2200,Defensive Holding,5,0,O
59101,658478,BAL,SS-2100,Offensive Holding,2,0,O
59102,658493,BAL,CM-3250,Defensive Offside,4,5,A
59103,658498,BAL,KO-0750,Offensive Holding,2,10,A
59104,658509,BAL,JZ-0300,Unnecessary Roughness,6,15,A
59105,658516,BAL,JZ-0300,Offensive Holding,2,10,A
59106,658518,CIN,CC-0900,Roughing the Passer,6,15,A
