uid,gid,fpid,tname,drvn,obt,qtr,min,sec,yfog,plays,succ,rfd,pfd,ofd,ry,ra,py,pa,pc,peyf,peya,net,res
96262,4110,672631,CAR,1,KOFF,1,4,48,30,9,6,2,1,0,38,5,30,3,2,0,0,68,FG
96263,4110,672641,GB,1,KOFF,1,2,27,25,3,0,0,0,0,-1,1,-6,2,1,0,0,-7,PUNT
96264,4110,672645,CAR,2,PUNT,1,0,59,20,3,0,0,0,0,4,1,0,2,0,0,0,4,PUNT
96265,4110,672649,GB,2,PUNT,1,5,51,35,11,8,2,3,0,34,5,36,6,4,0,5,65,TD
96266,4110,672663,CAR,3,KOFF,1,3,46,20,7,5,3,1,0,15,5,65,2,2,0,0,80,TD
96267,4110,672672,GB,3,KOFF,2,1,50,17,3,0,0,0,0,7,2,0,1,0,0,8,-1,PUNT
96268,4110,672677,CAR,4,PUNT,2,1,24,38,3,2,0,2,0,3,1,59,2,2,0,0,62,TD
96269,4110,672682,GB,4,KOFF,2,1,1,20,3,0,0,0,0,-1,1,0,2,0,0,0,-1,PUNT
96270,4110,672686,CAR,5,PUNT,2,2,55,48,6,1,0,1,0,4,3,16,2,1,0,0,20,FG
96271,4110,672693,GB,5,KOFF,2,0,12,20,2,0,1,0,0,0,1,0,1,0,0,0,0,FUM
96272,4110,672695,CAR,6,FUM,2,0,57,76,4,0,0,0,1,-1,1,0,2,0,0,0,-1,MFG
96273,4110,672699,GB,6,MFG,2,1,57,33,3,0,0,0,0,2,2,-9,1,0,0,0,-7,PUNT
96274,4110,672703,CAR,7,PUNT,2,1,12,48,4,2,1,1,0,13,2,39,2,1,0,0,52,TD
